6.000000000000000000e+00 1.133859328571428515e-01 1.883562637910761797e-02
7.000000000000000000e+00 1.350368207857142733e-01 3.013097995117048483e-02
1.000000000000000000e+01 3.634669032957142387e-01 1.497643312937112503e-01
1.200000000000000000e+01 4.864195433333332597e-01 1.594349063078466799e-01
1.300000000000000000e+01 6.994873571428571468e-01 2.788463733141953171e-01
1.400000000000000000e+01 8.280684671428570898e-01 3.444846714336758375e-01
1.500000000000000000e+01 9.903504580952382508e-01 5.445840920695105281e-01
1.600000000000000000e+01 1.183431541428571432e+00 5.759200909080730568e-01
1.700000000000000000e+01 1.298962132857143015e+00 6.123476673132862702e-01
2.000000000000000000e+01 1.784255714285714500e+00 9.093166137090792356e-01
2.300000000000000000e+01 1.918789999999999996e+00 8.316426584262532895e-01
2.600000000000000000e+01 2.322920000000000318e+00 9.920611561217959062e-01
2.900000000000000000e+01 2.766150000000000109e+00 8.978024552205233766e-01
