6.000000000000000000e+00 8.132814140388892887e-02 4.923176162134939443e-02
7.000000000000000000e+00 1.111743745155556046e-01 5.835370587615159449e-02
1.000000000000000000e+01 2.249332752952777348e-01 1.387246041268538899e-01
1.200000000000000000e+01 2.606139758333332890e-01 1.945920272565985210e-01
1.300000000000000000e+01 2.416690544444443367e-01 2.212007761813820084e-01
1.400000000000000000e+01 2.328336013888889500e-01 1.808885145358467283e-01
1.500000000000000000e+01 2.291207600000000066e-01 1.706815003333937153e-01
1.600000000000000000e+01 2.703807677777778085e-01 2.786305486069685089e-01
1.700000000000000000e+01 2.556319524999999815e-01 2.486387871009941575e-01
2.000000000000000000e+01 2.522866666666666036e-01 2.356107623933073880e-01
2.300000000000000000e+01 3.889166666666666328e-01 5.652002287144696213e-01
2.600000000000000000e+01 4.876241666666666918e-01 9.341679474757053070e-01
2.900000000000000000e+01 8.973874999999997826e-01 1.644505079637057054e+00
