6.000000000000000000e+00 8.349419770555553677e-02 3.950361801176980464e-02
7.000000000000000000e+00 1.120729184244444732e-01 3.732934348379568501e-02
1.000000000000000000e+01 2.764347420222221796e-01 8.920244140632176133e-02
1.200000000000000000e+01 2.913140888888888780e-01 1.138654167929308431e-01
1.300000000000000000e+01 3.115114718518519066e-01 1.529901179141595902e-01
1.400000000000000000e+01 2.494752796296297037e-01 1.332481003582282608e-01
1.500000000000000000e+01 2.855395099999999964e-01 2.088717967338587223e-01
1.600000000000000000e+01 3.640296492592594024e-01 3.384991593244000008e-01
1.700000000000000000e+01 2.981990351851851462e-01 3.072961775955451169e-01
2.000000000000000000e+01 3.027055555555555610e-01 4.685399152001912815e-01
2.300000000000000000e+01 4.617222222222222006e-01 6.188844928629031461e-01
2.600000000000000000e+01 5.821200000000000818e-01 8.824884171729645566e-01
2.900000000000000000e+01 7.959188888888888425e-01 1.044538803422027540e+00
