6.000000000000000000e+00 9.226781280166669597e-02 3.804595931228323125e-02
7.000000000000000000e+00 1.054303561156667152e-01 4.598700354636697796e-02
1.000000000000000000e+01 2.234673071206667028e-01 1.014155923017695249e-01
1.200000000000000000e+01 2.855828319999999532e-01 1.828977789925077813e-01
1.300000000000000000e+01 3.952756590000000569e-01 2.843714968175614088e-01
1.400000000000000000e+01 4.151788856666666083e-01 4.198789760947043703e-01
1.500000000000000000e+01 4.439909896666667244e-01 4.331294456370677892e-01
1.600000000000000000e+01 5.285311233333335190e-01 5.724366344887150682e-01
1.700000000000000000e+01 5.338064890000000506e-01 6.233349198345585762e-01
2.000000000000000000e+01 7.156509999999999261e-01 9.915072993826118397e-01
2.300000000000000000e+01 9.444259999999999877e-01 1.215280198013610313e+00
2.600000000000000000e+01 1.493530000000000024e+00 2.163277850647022049e+00
2.900000000000000000e+01 1.505946250000000264e+00 2.800734573687488904e+00
